Store ID,Store Name,Business ID,Merchant Store ID,Payout Date,Currency,Subtotal,Subtotal Tax Passed by DoorDash to Merchant,Commission,Commission Tax,Drive Charge,Marketing Fees (for historical reference only) | (All discounts and fees),Marketing Fee Tax (for historical reference only) | (Taxes on any applicable marketing fees),Alcohol Flat Fee,Alcohol Flat Fee Tax,Bag Fee,Bag Fee Tax,Cup Fee,Cup Fee Tax,Snap Ebt Discount,Error Charges,Adjustments | (for historical reference only),Total Before Adjustments,Net Payout,Transactions Start Local Date,Transactions End Local Date,Transactions Start UTC Date,Transactions End UTC Date,Payout ID,Payout Status,Tax Remitted by DoorDash to State,Printer Fee,Tablet Fee,Payment Processing Fee,Delivery Order Fee,Pickup Order Fee,Subscription Fee,Customer Discounts from Marketing | (Funded by You),Customer Discounts from Marketing | (Funded by DoorDash),Customer Discounts from Marketing | (Funded by a Third-party),Marketing Fees | (Including any applicable taxes),DoorDash Marketing Credit,Third-party Contribution,Adjustments
946236,McDonald's (12008-CROSS KEYS),5579,12008,2025-06-23,USD,5469.54,345.45,697.31,0.00,0.00,254.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.96,31.09,4827.27,4858.36,2025-06-16,2025-06-22,2025-06-16,2025-06-23,493185055,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-254.45,-62.64,0.00,0.00,62.64,0.00,31.09
946241,McDonald's (18170-NO WOODBURY),5579,18170,2025-06-23,USD,10098.09,641.56,1288.50,0.00,0.00,414.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,102.08,41.95,8934.34,8976.29,2025-06-16,2025-06-22,2025-06-16,2025-06-23,493184750,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-414.73,-77.52,0.00,0.00,77.52,0.00,41.95
946252,McDonald's (18576-WINSLOW),5579,18576,2025-06-23,USD,4315.95,282.37,607.49,0.00,0.00,54.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,114.19,143.03,3822.11,3965.14,2025-06-16,2025-06-22,2025-06-16,2025-06-22,493180058,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-54.53,-68.91,0.00,0.00,68.91,0.00,143.03
946258,McDonald's (2401-TURNERSVILLE),5579,2401,2025-06-23,USD,5057.84,320.52,634.89,0.00,0.00,219.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.53,25.70,4469.74,4495.44,2025-06-16,2025-06-22,2025-06-16,2025-06-23,493188303,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-219.20,-44.59,0.00,0.00,44.59,0.00,25.70
946269,McDonald's (4884-WILLIAMSTOWN),5579,4884,2025-06-23,USD,13493.76,851.04,1718.51,0.00,0.00,649.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,206.63,65.75,11770.14,11835.89,2025-06-16,2025-06-22,2025-06-16,2025-06-23,493183316,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-649.52,-170.12,-22.84,0.00,170.12,22.84,65.75
1544219,McDonald's (22137 - WRIGHTSTOWN),5579,22137,2025-06-23,USD,4216.30,269.14,515.17,0.00,0.00,154.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.54,55.00,3796.24,3851.24,2025-06-16,2025-06-22,2025-06-16,2025-06-23,493186760,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-154.49,-66.98,0.00,0.00,66.98,0.00,55.00
1544237,"McDonald's (21452 - RT 545, BROWNS MILLS)",5579,21452,2025-06-23,USD,9192.23,590.05,1153.88,0.00,0.00,286.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,124.49,84.94,8217.90,8302.84,2025-06-16,2025-06-22,2025-06-16,2025-06-23,493187429,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-286.01,-93.59,-26.26,0.00,93.59,26.26,84.94
657157,McDonald's (1447-LINDNWLD-W HORSE),5579,1447,2025-06-16,USD,13697.56,832.05,1664.85,0.00,0.00,1138.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,111.54,66.17,11614.55,11680.72,2025-06-09,2025-06-15,2025-06-09,2025-06-16,491416520,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1138.67,-187.06,-9.13,0.00,187.06,9.13,66.17
659406,McDonald's (4592-OCEAN CITY),5579,4592,2025-06-16,USD,2556.62,159.83,304.79,0.00,0.00,144.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.92,0.00,2248.58,2248.58,2025-06-09,2025-06-15,2025-06-09,2025-06-16,491422249,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-144.16,-30.28,0.00,0.00,30.28,0.00,0.00
946236,McDonald's (12008-CROSS KEYS),5579,12008,2025-06-16,USD,6217.54,381.97,767.95,0.00,0.00,452.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,102.82,28.75,5276.50,5305.25,2025-06-09,2025-06-15,2025-06-09,2025-06-16,491417852,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-452.24,-25.90,0.00,0.00,25.90,0.00,28.75
946241,McDonald's (18170-NO WOODBURY),5579,18170,2025-06-16,USD,8390.75,507.85,1016.57,0.00,0.00,724.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.76,46.33,7036.50,7082.83,2025-06-09,2025-06-15,2025-06-09,2025-06-16,491420314,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-724.77,-112.51,-11.44,0.00,112.51,11.44,46.33
946252,McDonald's (18576-WINSLOW),5579,18576,2025-06-16,USD,3876.99,234.44,503.79,0.00,0.00,337.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,143.12,19.21,3126.70,3145.91,2025-06-09,2025-06-16,2025-06-09,2025-06-16,491411526,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-337.82,-29.79,0.00,0.00,29.79,0.00,19.21
