Granularity,Start Date,End Date,Store Name,Store ID,Business ID,Merchant Supplied ID,Gross Sales,Total Orders Including Cancelled Orders,Total Delivered or Picked Up Orders,AOV,Total Commission,Total Promotion Fees | (for historical reference only),Total Promotion Sales | (for historical reference only),Total Ad Fees | (for historical reference only),Total Ad Sales | (for historical reference only),Currency
Week of 2025-06-16,2025-06-16,2025-06-22,"McDonald's (21452 - RT 545, BROWNS MILLS)",1544237,5579,21452,9192.23,396,395,23.21,1153.88,286.01,1043.32,0.00,0.00,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (22137 - WRIGHTSTOWN),1544219,5579,22137,4216.30,179,178,23.55,515.17,154.49,688.77,0.00,0.00,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (2401-TURNERSVILLE),946258,5579,2401,5057.84,231,229,21.90,634.89,219.20,816.98,0.00,0.00,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (4592-OCEAN CITY),659406,5579,4592,3638.01,167,165,21.78,439.74,117.84,474.23,0.00,0.00,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (4884-WILLIAMSTOWN),946269,5579,4884,13493.76,612,607,22.05,1718.51,649.52,2501.66,0.00,0.00,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (12008-CROSS KEYS),946236,5579,12008,6217.54,301,300,20.66,767.95,452.24,2028.50,6.00,26.05,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (1447-LINDNWLD-W HORSE),657157,5579,1447,13697.56,671,670,20.41,1664.85,1138.67,4932.01,39.00,227.47,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (18170-NO WOODBURY),946241,5579,18170,8390.75,401,401,20.92,1016.57,724.77,3234.27,0.00,0.00,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (18576-WINSLOW),946252,5579,18576,3876.99,198,198,19.58,503.79,337.82,1510.26,15.00,91.10,USD
Week of 2025-06-09,2025-06-09,2025-06-15,"McDonald's (21452 - RT 545, BROWNS MILLS)",1544237,5579,21452,9067.93,426,425,21.29,1092.50,650.69,2816.56,6.00,22.82,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (22137 - WRIGHTSTOWN),1544219,5579,22137,4121.75,173,173,23.83,491.94,277.14,1258.79,6.00,34.05,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (2401-TURNERSVILLE),946258,5579,2401,5140.28,240,238,21.42,615.72,422.11,1897.69,3.00,18.85,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (4592-OCEAN CITY),659406,5579,4592,2556.62,127,127,20.13,304.79,144.16,661.23,3.00,11.79,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (4884-WILLIAMSTOWN),946269,5579,4884,13150.43,587,586,22.40,1630.44,886.92,4335.05,3.00,30.26,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (12008-CROSS KEYS),946236,5579,12008,5749.51,296,296,19.42,733.33,239.50,1051.87,15.00,61.70,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (1447-LINDNWLD-W HORSE),657157,5579,1447,13233.28,660,658,20.05,1656.33,662.22,2976.47,36.00,224.28,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (18170-NO WOODBURY),946241,5579,18170,9265.74,435,435,21.30,1160.75,512.04,2374.81,18.00,138.36,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (18576-WINSLOW),946252,5579,18576,3842.16,192,192,20.01,525.75,180.10,799.43,15.00,107.01,USD
